ticker,volume,open,close,high,low,window_start,transactions
O:A251219C00130000,9,8.84,8.84,8.84,8.84,1765861200000000000,1
O:A251219C00135000,1,6.2,6.2,6.2,6.2,1765861200000000000,1
O:A251219C00140000,2,1.58,1.1,1.58,1.1,1765861200000000000,2
O:A251219C00145000,4,0.23,0.25,0.25,0.23,1765861200000000000,2
O:A251219C00155000,2,0.03,0.03,0.03,0.03,1765861200000000000,1
O:A251219C00160000,2,0.05,0.05,0.05,0.05,1765861200000000000,1
O:A251219C00165000,2,0.03,0.03,0.03,0.03,1765861200000000000,1
O:A251219P00120000,2,0.09,0.09,0.09,0.09,1765861200000000000,1
O:A251219P00130000,21,0.09,0.11,0.15,0.09,1765861200000000000,9
O:A251219P00135000,8,0.4,0.4,0.5,0.2,1765861200000000000,6
O:A251219P00140000,18,2.4,2.13,2.8,2.12,1765861200000000000,14
O:A251219P00145000,34,5.1,6.37,6.55,5.1,1765861200000000000,11
O:A251219P00150000,32,11,11.22,11.28,10.95,1765861200000000000,10
O:A251219P00155000,2,16.25,16.28,16.28,16.25,1765861200000000000,2
O:A260116C00125000,5,14.7,14.7,14.7,14.7,1765861200000000000,1
O:A260116C00140000,4,4,3.8,4,3.4,1765861200000000000,4
O:A260116C00145000,5,2.1,2,2.1,1.96,1765861200000000000,3
O:A260116C00150000,25,0.95,0.9,0.95,0.78,1765861200000000000,5
O:A260116C00155000,9,0.25,0.25,0.3,0.25,1765861200000000000,5
O:A260116C00160000,1,0.24,0.24,0.24,0.24,1765861200000000000,1
O:A260116C00180000,5,0.05,0.05,0.05,0.05,1765861200000000000,1
O:A260116P00100000,1,0.06,0.06,0.06,0.06,1765861200000000000,1
O:A260116P00125000,1,0.72,0.72,0.72,0.72,1765861200000000000,1
O:A260116P00130000,4,1.7,1.47,1.7,1.47,1765861200000000000,4
O:A260116P00135000,3,2.58,2.97,2.97,2.58,1765861200000000000,3
O:A260116P00140000,11,4.21,5.08,5.2,4.21,1765861200000000000,6
O:A260116P00145000,1,8.27,8.27,8.27,8.27,1765861200000000000,1
O:A260116P00150000,2,11.7,11.7,11.7,11.7,1765861200000000000,1
O:A260220C00135000,9,9.05,9.05,9.05,9.05,1765861200000000000,1
O:A260220C00145000,20,4.6,4.43,4.6,4.43,1765861200000000000,3
O:A260220P00120000,20,1.17,1.18,1.18,1.17,1765861200000000000,4
O:A260220P00125000,20,1.87,1.88,1.88,1.87,1765861200000000000,4
O:A260220P00135000,1,4.6,4.6,4.6,4.6,1765861200000000000,1
O:A260220P00140000,10,6.25,6.83,6.83,6.25,1765861200000000000,2
O:A260220P00150000,4,12.2,12.7,12.7,12.2,1765861200000000000,2
O:A260320C00125000,1,19,19,19,19,1765861200000000000,1
O:A260320C00145000,2,6,6,6,6,1765861200000000000,1
O:A260320C00150000,6,4.5,4.2,4.5,4.2,1765861200000000000,2
O:A260320C00160000,10,1.85,1.78,1.85,1.65,1765861200000000000,5
O:A260320P00135000,8,6.2,6.1,6.2,6.1,1765861200000000000,3
O:A260515P00125000,1,4.5,4.5,4.5,4.5,1765861200000000000,1
O:A260618C00165000,2,3.5,3.5,3.5,3.5,1765861200000000000,1
